taxonID,scientificName,taxonRank,scientificNameAuthorship,namePublishedInYear,namePublishedIn
35df6fa1-d125-4fb9-a709-c4b4c7847eb5,"Euaphycus Mercet, 1921",genus,,,
4268f249-fcc8-4ebf-a6ee-3ed7503d111b,"Archimonocelis Meixner, 1938",genus,,,
384e7ef9-5cae-4fe7-9580-f79acd24800d,"Minona Marcus, 1946",genus,,,
d8f349f8-9cea-4554-aa60-1763bb0741fd,"Lycosa (Arctosa) C. L. Koch, 1847",subgenus,,,
607b1031-28e6-4ed1-9a33-d180253540b6,"Macrosiphum Passerini, 1860",genus,,,
66af6bc7-2e7f-4d5a-b2f2-cca132acd76f,"Amaurobius Koch, 1837",genus,,,
265f7fa0-dfbf-46eb-9ed7-dc4a6c76e5d4,"Corycaeus Dana, 1849",genus,,,
400435cb-7bf7-4918-959d-aba59912d261,"Anuretes Heller, 1865",genus,,,
85cf178c-23dc-4211-9c09-e134a7b7555b,"Verruca Schumacher, 1817",genus,,,
2e9a44c6-8ef4-4b56-a9a8-049aec43335a,Macrocyprina Triebel 1960,genus,,,
e89839e6-566d-47fc-a963-9aa26e974edd,"Suberites Nardo, 1833",genus,,,
2f262da1-4684-41a0-810d-d9ad194e075c,"Degeeria Nicolet, 1841",genus,,,
11517cae-67eb-4962-9d17-1160f8a1382d,"Enchelidium Ehrenberg, 1836",genus,,,
84fc4469-532b-49b8-8570-f1209c9df9cb,"Nototheniidae Günther, 1861",family,,,
dea06761-c5a7-455b-94d7-d2fa11f09445,"Macrosiphum Passerini, 1860",genus,,,
f016a16a-5458-4eae-b499-95b72157dabe,"Oodemas Boheman, 1859",genus,,,
dce8de0a-6756-4166-941f-79b2f616ea09,"Geosesarma de Man, 1892",genus,,,
471b4f71-afa1-415c-bfe5-93433605ff2a,"Pterygioteuthis Fischer, 1896",genus,,,
2c0b7825-a1db-47a9-a4cb-e069f4b69d57,"Diaperoecia Canu, 1918",genus,,,
87dc5080-527d-4fca-9158-ec1a1e1a5ab6,"Dacryonella Canu & Bassler, 1917",genus,,,
7498e81a-cff3-4714-b9e3-f3c2d28f3d77,"Floridinella Canu and Bassler, 1917",genus,,,
b65f30c0-7e62-4062-ab8b-fd4453e498c5,"Schizomavella Canu & Bassler, 1917",genus,,,
767d8dac-15b4-4f45-a8d5-6cee5d9755e9,"Halosauridae Günther, 1868",family,,,
0e90db84-907a-47cd-82f5-c775dcc72d3f,"Schizoporella Hincks, 1877",genus,,,
200188d0-06f6-43b0-afe0-f2bf62afbd14,"Phidolophora Gabb & Horn, 1862",genus,,,
a7002a8b-ad9a-4dec-b776-246699e2b374,Halophiloscia Verhoeff 1908,genus,,,
6cd04f4a-83c0-4af2-890d-dd6a049d6ec8,"Protaulacistis Sharp, 1899",genus,,,
c7360067-6b0b-44e8-a0f4-82fd4ec83d15,"Setaphora Budde-Lund, 1909",genus,,,
18e5d7e5-a53b-4132-a571-39da0819f874,"Palinnotus Stebbing, 1900",genus,,,
e432e9c6-65e5-4272-b9ac-026be93cf051,"Cercaria Müller, 1773",genus,,,
61432e05-e73b-4375-b093-c0be991f0913,"Pendanthura Menzies & Glynn, 1968",genus,,,
86d19ca4-fba8-4c2f-99f8-bbcd6674ad35,"Philometra Costa, 1845",genus,,,
b46387bb-e855-4326-be5d-08f70ba1fc47,"Chiroteuthis d'Orbigny, 1839",genus,,,
09756902-dbcf-4ea0-9543-6304e2e405b8,"Proteopteryx Walsingham, 1879",genus,,,
f934687b-1901-4473-9a22-1bf53cadac9d,"Enoploteuthis d'Orbigny, 1839",genus,,,
e7c8c0e5-fd8d-456f-82fe-038519eb6755,"Polypus Schneider, 1784",genus,,,
e197540e-3485-4a92-9cac-fb55d072cfd5,"Pterygioteuthis Fischer, 1896",genus,,,
77335793-31d7-405d-8579-b387f75cc425,"Pyroteuthis Hoyle, 1904",genus,,,
80d567c7-61f6-49d7-b2f1-6aa25e9ff5b9,"Oodemas Boheman, 1859",genus,,,
e6b3986a-4cc3-4b74-b817-4cb4caf4331c,"Setaphora Budde-Lund, 1909",genus,,,
e0e4ed6e-99a1-48b2-856e-c8ff57f02651,Halophiloscia Verhoeff 1908,genus,,,
23a7573b-a9ea-4169-b3cb-19942c7bbb9f,"Cycloptilum Scudder, 1868",genus,,,
63853937-d307-490a-ae54-2d283f1eff47,"Anuretes Heller, 1865",genus,,,
9ff90601-18bc-4d11-b043-827f4cd27218,"Fulvius Stål, 1862",genus,,,
e2fc73d2-7d6c-4317-9084-64aa7b6ecc4f,"Bolina Duponchel, 1845",genus,,,
ac20d173-9d62-4219-a18e-29987f0bf4aa,"Diaperoecia Canu, 1918",genus,,,
c6a66d23-adab-4bed-887c-989978c6f698,"Filifascigera d'Orbigny, 1853",genus,,,
15f89c78-deaa-404d-8b20-3d5dec8b491f,"Prospaltella Ashmead, 1904",genus,,,
96bb4c91-44f1-4ad2-a206-87d0c084835a,"Dacryonella Canu & Bassler, 1917",genus,,,
ed6073d3-1ae3-4e24-81ef-59965fadc5c5,"Oppia Robineau-Desvoidy, 1863",genus,,,
9d73d79e-43e8-4c3a-816d-77ec5e58006e,"Lichenopora Defrance, 1823",genus,,,
65dd20ce-e7b6-41d1-86a3-5b585293425e,"Johanssonia Selensky, 1914",genus,,,
96012a8f-e7fd-4c2e-8bbb-2eb4f5756e1a,"Floridinella Canu and Bassler, 1917",genus,,,
230f7512-756b-4d6c-bde1-b3b669489d27,"Schizomavella Canu & Bassler, 1917",genus,,,
8c865644-8d20-4403-bb98-840af218451d,"Schizoporella Hincks, 1877",genus,,,
a998abd6-6019-4d40-9c43-764a783ee9b3,"Phidolopora Gabb & Horn, 1862",genus,,,
60deb402-46b9-451b-8601-ae86e9ed389b,"Rhynchozoon Hincks, 1895",genus,,,
f583129c-a377-450d-b77a-4c5e6a8af0a2,"Oodemas Boheman, 1859",genus,,,
5419cc70-6a2d-4924-849b-5cad60506107,Smittoidea Osburn 1952,genus,,,
93649710-cef4-4a56-94b5-1d67f1e6b3b3,"Actinocyclus Ehrenberg, 1831",genus,,,
9545fc26-a97e-4df5-8ee2-b884a1977781,"Tambja Burn, 1962",genus,,,
4904aed1-3f2f-40cd-bb2e-bc985325ec8a,"Dermatobranchus Hasselt, 1824",genus,,,
37f7abe2-5273-40aa-a2b9-d72aa8249c32,Aonidiella Berlese & Leonardi 1895,genus,,,
5bbb698b-e56c-481c-9dc8-ca26324c84c6,"Schizoporella Hincks, 1877",genus,,,
b14e96a6-f63a-4693-9b80-00148c925f16,"Anachis H. & A. Adams, 1853",genus,,,
1332ec61-2c56-4e6e-aef0-fb092f84a0a6,"Mitrella Risso, 1826",genus,,,
4fc5a06e-5c22-4049-963e-fdb711c1d52b,"Flabellina Voigt, 1834",genus,,,
90553523-460d-4c3b-a50e-41089f58341c,"Doriopsis Pease, 1860",genus,,,
55d63a79-87ec-4509-9bf2-8dbd3e6f17ef,"Prospaltella Ashmead, 1904",genus,,,
8c9ab7d8-6e79-4544-a289-4b1644083360,"Etrema Hedley, 1918",genus,,,
8b67bcec-ce6c-4f9d-9422-f57ca14d5b14,"Turridrupa Hedley, 1922",genus,,,
c2018236-5002-4202-9569-29a492b127e7,"Phallodrilus Pierantoni, 1902",genus,,,
b8334e6b-cb73-4527-9072-efbff6cce114,"Hemiptycha Germar, 1833",genus,,,
6fe9f0ea-0841-4126-aa84-634d9a8cc174,"Tubificoides Lastockin, 1937",genus,,,
3e7352a2-67bf-454c-88a9-dcf5f0c32b63,"Lathrostizus Forster, 1868",genus,,,
d6105926-6d8a-4174-a77a-882d069bc2d3,"Cadulus Philippi, 1844",genus,,,
52b512b6-6954-4e3d-9412-28d824c4d57d,"Dactylamblyops Holt & Tattersall, 1906",genus,,,
6f2ba993-0028-4584-8777-c40292c8c550,"Parapleustes Buchholz, 1874",genus,,,
4250b262-745b-46b1-99f7-996ae98190b2,"Archimonocelis Meixner, 1938",genus,,,
ac58b47e-f597-4122-b16b-d0f68eb9a679,"Minona Marcus, 1946",genus,,,
b22f928b-dcbb-436b-9459-3a90d472449e,"Corycaeus Dana, 1849",genus,,,
04a82fe5-d969-4c5b-9e7c-77181ab65c16,"Bolina Duponchel, 1845",genus,,,
33449a6e-513d-4857-ba59-09d631dbc312,"Calacarus Keifer, 1940",genus,,,
cabd5f74-fefa-4541-aa18-f3a97638584d,Euthrips Targioni-Tozzetti 1886,genus,,,
d8a9a7da-f7bf-4d50-b549-30054c8f5a30,"Psammodius Fallén, 1807",genus,,,
ac0c23fc-233a-40c2-9735-9f9ba88d74bf,"Neoseiulus Hughes, 1948",genus,,,
8b442306-69dc-40d6-8526-93184a235488,"Ilburnia White, 1878",genus,,,
ce6a54fa-0969-4000-aad2-d31e2ecb2463,"Oodemas Boheman, 1859",genus,,,
94a8f67f-5363-45f4-80fb-60a5619fcebb,"Deilephila Laspeyres, 1809",genus,,,
31fef723-5796-48ba-8ba8-6acb45190321,"Cosmochthonius Berlese, 1910",genus,,,
904ffaba-9e05-4b3f-b74f-0cb1ff41a0c0,"Acrotelsella Silvestri, 1935",genus,,,
